"Yes","Sim"
"No","Não"
"Settings","Definições"
"Setting","Definição"
"Border Color","Cor da Borda"
"Border Width (px)","Largura da Borda"
"Hover Background","Cor de Fundo do Hover"
"Suggest","Sugestão"
"Enable","Habilitado"
"Background","Cor de Fundo"
"Suggest Color","Cor da Sugestão"
"Count Color","Cor da Contagem"
"Product Preview","Visão do Produto"
"Number Product Show","Quantidade à Exibir"
"Show Product Image","Exibir Imagem do Produto"
"Show Product Name","Exibir Nome do Produto"
"Show Product Descrition","Exibir Descrição do Produto"
"Number character of Product Descrition","Total de Letras na Descrição"
"Background","Cor do Fundo"
"Product Name Color","Cor do Nome do Produto"
"Product Description Color","Cor da Descrição do Produto"
"Thumnail width (px)","Largura da Imagem (px)"
"Thumnail height (px)","Altura da Imagem (px)"
"Image border width (px)","Largura da Borda da Imagem (px)"
"Image border color","Cor da Borda da Imagem"
"Category Preview","Visão da Categoria"
"Number Category Show","Quantidade à Exibir"
"Category Name Color","Cor do Nome da Categoria"
